Holdings details

Total Stock Market ETF (VTI)


Equity,as of 06/30/2021

,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SECTOR,COUNTRY,SECURITY DEPOSITORY RECEIPT TYPE,MARKET VALUE*,SHARES
,2113434,Boston Scientific Corp.,BSX,0.14%,Health Care Equipment,US,---,"$1,716,263,636.04","40,137,129"
,B3BQMF6,Chubb Ltd.,CB,0.14%,Property & Casualty Insurance,US,---,"$1,716,136,530.84","10,797,386"
,2542049,Dominion Energy Inc.,D,0.13%,Multi-Utilities,US,---,"$1,676,973,266.78","22,794,254"
,2937667,Waste Management Inc.,WM,0.13%,Environmental & Facilities Services,US,---,"$1,670,179,153.35","11,920,485"
,B8KQN82,Eaton Corp. plc,ETN,0.13%,Electrical Components & Equipment,US,---,"$1,667,806,797.68","11,255,276"
,2615468,Ford Motor Co.,F,0.13%,Automobile Manufacturers,US,---,"$1,645,818,423.26","110,754,941"
,2313405,Emerson Electric Co.,EMR,0.13%,Electrical Components & Equipment,US,---,"$1,630,138,238.64","16,938,261"
,2252058,Moody's Corp.,MCO,0.13%,Financial Exchanges & Data,US,---,"$1,628,877,791.16","4,495,068"
,2705024,Progressive Corp.,PGR,0.13%,Property & Casualty Insurance,US,---,"$1,623,511,867.04","16,531,024"
,2445063,Humana Inc.,HUM,0.13%,Managed Health Care,US,---,"$1,613,604,605.44","3,644,752"
,B4MGBG6,HCA Healthcare Inc.,HCA,0.12%,Health Care Facilities,US,---,"$1,574,293,055.30","7,614,845"
,2730190,Regeneron Pharmaceuticals Inc.,REGN,0.12%,Biotechnology,US,---,"$1,569,322,018.44","2,809,686"
,2712013,Global Payments Inc.,GPN,0.12%,Data Processing & Outsourced Services,US,---,"$1,564,059,032.26","8,339,869"
,2352118,Freeport-McMoRan Inc.,FCX,0.12%,Copper,US,---,"$1,536,303,864.39","41,398,649"
,2459202,IDEXX Laboratories Inc.,IDXX,0.12%,Health Care Equipment,US,---,"$1,521,523,312.95","2,409,189"
,2304227,Ecolab Inc.,ECL,0.12%,Specialty Chemicals,US,---,"$1,496,927,551.09","7,267,697"
,BZ1LFG7,Roku Inc.,ROKU,0.12%,Movies & Entertainment,US,---,"$1,494,180,897.00","3,253,524"
,2648806,Northrop Grumman Corp.,NOC,0.12%,Aerospace & Defense,US,---,"$1,487,190,449.28","4,092,096"
,2931034,Vertex Pharmaceuticals Inc.,VRTX,0.12%,Biotechnology,US,---,"$1,474,461,112.41","7,312,707"
,BFLR866,Twitter Inc.,TWTR,0.12%,Interactive Media & Services,US,---,"$1,473,924,856.53","21,420,213"
,2455965,Biogen Inc.,BIIB,0.12%,Biotechnology,US,---,"$1,472,631,945.61","4,252,843"
,B5B1S13,Dollar General Corp.,DG,0.12%,General Merchandise Stores,US,---,"$1,462,476,359.19","6,758,521"
,BFYT7B7,DocuSign Inc.,DOCU,0.12%,Application Software,US,---,"$1,459,118,045.07","5,219,151"
,BLP1HW5,Aon plc,AON,0.11%,Insurance Brokers,US,---,"$1,445,911,220.44","6,055,919"
,2636607,Newmont Corp.,NEM,0.11%,Gold,US,---,"$1,434,141,851.36","22,627,672"
,BJJP138,Crowdstrike Holdings Inc.,CRWD,0.11%,Systems Software,US,---,"$1,413,375,481.92","5,624,032"
,2480138,KLA Corp.,KLAC,0.11%,Semiconductor Equipment,US,---,"$1,404,215,758.32","4,331,192"
,2749602,Roper Technologies Inc.,ROP,0.11%,Industrial Conglomerates,US,---,"$1,397,894,255.60","2,972,978"
,BY7QL61,Johnson Controls International plc,JCI,0.11%,Building Products,US,---,"$1,389,597,660.73","20,247,671"
,2318024,EOG Resources Inc.,EOG,0.11%,Oil & Gas Exploration & Production,US,---,"$1,375,737,359.36","16,487,744"
,BHXCF84,Dow Inc.,DOW,0.11%,Commodity Chemicals,US,---,"$1,332,222,766.00","21,052,825"
,BNKJSM5,Marvell Technology Inc.,MRVL,0.10%,Semiconductors,US,---,"$1,318,998,091.04","22,612,688"
,BDR73G1,IQVIA Holdings Inc.,IQV,0.10%,Life Sciences Tools & Services,US,---,"$1,311,803,924.08","5,413,519"
,2679204,Align Technology Inc.,ALGN,0.10%,Health Care Supplies,US,---,"$1,296,807,174.00","2,122,434"
,2293819,eBay Inc.,EBAY,0.10%,Internet & Direct Marketing Retail,US,---,"$1,283,735,998.93","18,284,233"
,2520153,Agilent Technologies Inc.,A,0.10%,Life Sciences Tools & Services,US,---,"$1,277,546,218.65","8,643,165"
,2365161,General Dynamics Corp.,GD,0.10%,Aerospace & Defense,US,---,"$1,277,088,254.66","6,783,641"
,2491839,Kimberly-Clark Corp.,KMB,0.10%,Household Products,US,---,"$1,275,100,926.06","9,531,327"
,B8K6ZD1,Workday Inc.,WDAY,0.10%,Application Software,US,---,"$1,273,633,971.84","5,334,816"
,2702337,T Rowe Price Group Inc.,TROW,0.10%,Asset Management & Custody Banks,US,---,"$1,268,765,973.60","6,408,880"
,2779201,Schlumberger NV,SLB,0.10%,Oil & Gas Equipment & Services,US,---,"$1,264,657,802.10","39,508,210"
,2852533,Public Storage,PSA,0.10%,Specialized REITs,US,---,"$1,264,245,091.20","4,204,480"
,B62B7C3,TE Connectivity Ltd.,TEL,0.10%,Electronic Manufacturing Services,US,---,"$1,261,288,096.44","9,328,364"
,BK9DTN5,L3Harris Technologies Inc.,LHX,0.10%,Aerospace & Defense,US,---,"$1,251,730,269.90","5,791,026"
,2746711,Ross Stores Inc.,ROST,0.10%,Apparel Retail,US,---,"$1,249,032,656.00","10,072,844"
,BK9ZQ96,Trane Technologies plc,TT,0.10%,Building Products,US,---,"$1,243,918,732.32","6,755,288"
,B0X7DZ3,Chipotle Mexican Grill Inc.,CMG,0.10%,Restaurants,US,---,"$1,232,934,240.78","795,267"
,B23FN39,Lululemon Athletica Inc.,LULU,0.10%,"Apparel, Accessories & Luxury Goods",US,---,"$1,225,616,341.13","3,358,129"
,2670519,Exelon Corp.,EXC,0.10%,Electric Utilities,US,---,"$1,222,440,719.01","27,588,371"
,BJ2Z0H2,Pinterest Inc.,PINS,0.10%,Interactive Media & Services,US,---,"$1,220,142,722.70","15,454,626"
,BFH3N85,Veeva Systems Inc.,VEEV,0.10%,Health Care Technology,US,---,"$1,211,485,454.10","3,896,078"
,2812452,Simon Property Group Inc.,SPG,0.10%,Retail REITs,US,---,"$1,211,324,780.40","9,283,605"
,BN78DQ4,Palantir Technologies Inc.,PLTR,0.10%,Application Software,US,---,"$1,209,361,530.32","45,878,662"
,B783TY6,Aptiv plc,APTV,0.09%,Auto Parts & Equipment,US,---,"$1,202,238,138.98","7,641,506"
,2807061,Centene Corp.,CNC,0.09%,Managed Health Care,US,---,"$1,200,666,208.17","16,463,269"
,B03GQS4,Digital Realty Trust Inc.,DLR,0.09%,Specialized REITs,US,---,"$1,197,364,441.50","7,958,025"
,2026242,American Electric Power Co. Inc.,AEP,0.09%,Electric Utilities,US,---,"$1,194,556,886.93","14,121,727"
,BK4N0D7,Carrier Global Corp.,CARR,0.09%,Building Products,US,---,"$1,193,038,632.00","24,548,120"
,2867719,Synopsys Inc.,SNPS,0.09%,Application Software,US,---,"$1,189,126,776.69","4,311,711"
,B2972D2,MSCI Inc.,MSCI,0.09%,Financial Exchanges & Data,US,---,"$1,179,331,284.76","2,212,297"
,BK80XH9,Match Group Inc.,MTCH,0.09%,Interactive Media & Services,US,---,"$1,168,903,185.00","7,249,012"
,B0796X4,Dexcom Inc.,DXCM,0.09%,Health Care Equipment,US,---,"$1,166,580,226.00","2,732,038"
,BK0VN47,DuPont de Nemours Inc.,DD,0.09%,Specialty Chemicals,US,---,"$1,163,491,033.22","15,030,242"
,2310194,Electronic Arts Inc.,EA,0.09%,Interactive Home Entertainment,US,---,"$1,163,094,095.87","8,086,589"
,2145084,Amphenol Corp.,APH,0.09%,Electronic Components,US,---,"$1,154,975,060.12","16,883,132"
,2592174,Microchip Technology Inc.,MCHP,0.09%,Semiconductors,US,---,"$1,154,843,395.76","7,712,324"
,2027342,American International Group Inc.,AIG,0.09%,Multi-line Insurance,US,---,"$1,154,121,690.40","24,246,254"
,2036070,Alexion Pharmaceuticals Inc.,ALXN,0.09%,Biotechnology,US,---,"$1,145,558,242.48","6,235,688"
,2085102,Baxter International Inc.,BAX,0.09%,Health Care Equipment,US,---,"$1,143,476,096.00","14,204,672"
,BD0Q558,IHS Markit Ltd.,INFO,0.09%,Research & Consulting Services,US,---,"$1,141,531,167.78","10,132,533"
,2819118,Prudential Financial Inc.,PRU,0.09%,Life & Health Insurance,US,---,"$1,140,442,221.81","11,129,523"
,B1Z77F6,Bank of New York Mellon Corp.,BK,0.09%,Asset Management & Custody Banks,US,---,"$1,140,366,224.05","22,259,735"
,2698470,PPG Industries Inc.,PPG,0.09%,Specialty Chemicals,US,---,"$1,136,949,520.23","6,696,999"
,2138158,Sempra Energy,SRE,0.09%,Multi-Utilities,US,---,"$1,128,681,112.32","8,519,634"
,2671501,Parker-Hannifin Corp.,PH,0.09%,Industrial Machinery,US,---,"$1,119,525,895.38","3,645,358"
,B65LWX6,O'Reilly Automotive Inc.,ORLY,0.09%,Automotive Retail,US,---,"$1,115,765,499.06","1,970,586"
,B3K3L40,Marathon Petroleum Corp.,MPC,0.09%,Oil & Gas Refining & Marketing,US,---,"$1,113,884,994.00","18,435,700"
,2573209,MetLife Inc.,MET,0.09%,Life & Health Insurance,US,---,"$1,110,128,383.35","18,548,511"
,2019952,Allstate Corp.,ALL,0.09%,Property & Casualty Insurance,US,---,"$1,100,079,827.52","8,433,608"
,BTN1Y44,Walgreens Boots Alliance Inc.,WBA,0.09%,Drug Retail,US,---,"$1,091,895,560.25","20,754,525"
,2302232,Cadence Design Systems Inc.,CDNS,0.08%,Application Software,US,---,"$1,075,887,353.68","7,863,524"
,2170473,Constellation Brands Inc.,STZ,0.08%,Distillers & Vintners,US,---,"$1,068,116,923.61","4,566,749"
,2868165,Sysco Corp.,SYY,0.08%,Food Distributors,US,---,"$1,067,340,959.50","13,727,858"
,BYX4D52,HP Inc.,HPQ,0.08%,"Technology Hardware, Storage & Periphera",US,---,"$1,063,618,063.33","35,230,807"
,2769503,Travelers Cos. Inc.,TRV,0.08%,Property & Casualty Insurance,US,---,"$1,063,592,088.79","7,104,349"
,B78C4Y8,Phillips 66,PSX,0.08%,Oil & Gas Refining & Marketing,US,---,"$1,061,556,840.68","12,369,574"
,2367026,General Mills Inc.,GIS,0.08%,Packaged Foods & Meats,US,---,"$1,050,583,270.59","17,242,463"
,2464165,International Flavors & Fragrances Inc.,IFF,0.08%,Specialty Chemicals,US,---,"$1,050,522,235.20","7,031,608"
,B5BKPQ4,Motorola Solutions Inc.,MSI,0.08%,Communications Equipment,US,---,"$1,039,495,846.45","4,793,617"
,2257019,Cognizant Technology Solutions Corp.,CTSH,0.08%,IT Consulting & Other Services,US,---,"$1,032,013,270.42","14,900,567"
,B1YLC43,Discover Financial Services,DFS,0.08%,Consumer Finance,US,---,"$1,018,983,299.49","8,614,281"
,2732903,ResMed Inc.,RMD,0.08%,Health Care Equipment,US,---,"$1,013,477,986.28","4,111,139"
,2240202,Cummins Inc.,CMI,0.08%,Construction Machinery & Heavy Trucks,US,---,"$1,007,104,016.52","4,130,692"
